video_id,stance_label,effect_label,knee_start,knee_min,knee_target,ankle_drag,ankle_min_dist,hip_tilt,jump,lateral_offset,arm_extension,non_dominant_arm_angle,hip_drive,shoulder_rotation,trunk_arch
flat_pinpoint_235_pinpoint_flat_landmarks,0,0,179.94,133.98,138.65,10.9207,0.1125,0.9679,7.9207,0.4434,170.3016,167.5827040608276,3.4246,-19.8368,0.972
flat_pinpoint_236_pinpoint_flat_landmarks,0,0,177.82,134.1,141.61,27.5055,0.2475,0.5248,11.7746,1.4369,175.3625,172.342878345427,5.9453,-54.5679,1.2793
flat_pinpoint_251_pinpoint_flat_landmarks,0,0,179.97,121.86,134.59,21.0474,1.0656,0.9543,4.5076,0.6099,169.9609,165.80698607868544,0.6044,-50.0413,1.005
flat_pinpoint_263_pinpoint_flat_landmarks,0,0,179.99,122.65,133.17,20.2238,1.5086,0.993,6.0348,0.4659,170.9522,168.62475171754753,0.8581,-30.6589,0.7592
flat_pinpoint_264_pinpoint_flat_landmarks,0,0,178.97,91.77,154.29,59.2809,1.3414,0.8071,15.7609,0.8573,169.7372,162.01443651018673,10.6987,6.7123,3.3515
flat_pinpoint_266_pinpoint_flat_landmarks,0,0,179.44,106.53,151.67,55.8394,1.7299,0.9104,21.0113,0.3043,164.836,167.291887815292,15.3882,16.8221,5.8085
flat_pinpoint_267_pinpoint_flat_landmarks,0,0,179.97,97.84,167.43,48.2377,1.759,0.9676,19.7521,0.8305,175.0592,164.26330245176638,13.0007,4.5754,4.4492
flat_pinpoint_275_pinpoint_flat_landmarks,0,0,176.31,121.48,135.19,12.4341,0.6137,0.9958,6.3284,0.5167,167.3063,168.04238965760453,1.6027,-39.3039,0.9556
flat_pinpoint_279_pinpoint_flat_landmarks,0,0,161.61,119.19,176.2,8.0184,0.1281,0.5462,18.8159,0.0538,162.8657,168.9000063990756,9.6425,2.6305,1.458
flat_pinpoint_303_pinpoint_flat_landmarks,0,0,179.79,138.11,142.47,6.7645,0.2575,0.763,9.9392,-0.0754,165.2518,171.40495372225678,3.5144,-31.0432,1.7695
flat_pinpoint_336_pinpoint_flat_landmarks,0,0,179.98,132.43,152.68,6.0306,0.7686,0.7672,16.0287,0.5987,179.95,174.2783803920551,6.9284,-28.2571,5.9486
flat_pinpoint_341_pinpoint_flat_landmarks,0,0,148.62,135.53,141.62,3.0234,0.3008,0.6125,6.8001,0.7603,174.6267,176.06857278043432,0.5566,-35.1044,1.5096
flat_pinpoint_54_landmarks,0,0,179.98,135.61,174.3,14.9484,0.0406,0.7165,8.7119,0.7588,167.2647,168.20685144301711,5.6798,3.5168,2.8912
flat_pinpoint_55_landmarks,0,0,148.53,131.77,158.53,5.3876,0.5305,0.3319,5.7663,0.6907,168.2007,167.02603208012323,0.5433,-15.1637,1.6321
flat_pinpoint_56_landmarks,0,0,179.96,135.12,146.74,22.236,0.28,0.4167,15.0547,0.2072,157.5769,169.1289407548656,13.5359,-30.5701,5.7757
flat_pinpoint_57_landmarks,0,0,148.1,132.43,158.04,6.0345,0.8276,0.348,4.7763,0.7974,170.8824,165.23725912908046,0.6063,-24.165,1.3002
flat_pinpoint_61_landmarks,0,0,179.94,139.48,141.04,16.4286,0.4322,0.6945,12.5809,0.7545,174.4975,163.54134500231586,7.1402,-34.6779,5.0174
flat_pinpoint_7_landmarks,0,0,179.91,112.84,121.62,4.4292,1.0723,0.8869,5.545,1.0563,176.6118,179.91210758032352,2.0869,-27.9381,0.0459
flat_pinpoint_90_landmarks,0,0,145.11,123.37,130.16,5.9822,0.2864,0.5323,3.2288,1.0933,160.2195,172.8472769379949,0.8908,-27.3429,1.0783
flat_pinpoint_91_landmarks,0,0,145.74,117.62,130.27,6.179,0.1312,0.3267,4.6067,0.8106,157.6322,177.1166591159497,1.0786,-27.0629,0.9375
flat_pinpoint_93_landmarks,0,0,170.83,150.89,151.62,4.9317,0.1963,0.6161,5.1109,0.5131,170.0146,173.7016531644156,1.6347,42.7794,0.8369
flat_pinpoint_95_landmarks,0,0,179.31,129.84,150.78,14.3305,0.1689,0.8524,16.5582,0.9723,175.2831,161.6614343998013,15.011,-24.7611,5.3235
flat_platform_106_landmarks,1,0,173.41,140.14,144.17,1.2435,2.3088,0.5576,1.7726,-2.6106,67.1869,179.39773166777533,1.2323,-38.7098,1.8917
flat_platform_120_landmarks,1,0,179.97,120.79,148.29,31.6029,3.1842,0.763,20.3063,0.6391,169.0674,174.192724169964,3.679,-29.5978,7.9478
flat_platform_150_landmarks,1,0,179.98,137.25,143.03,5.4853,0.348,0.5217,4.2315,0.4661,166.93,166.66322936373632,1.2851,-30.7468,0.4887
flat_platform_151_landmarks,1,0,179.99,137.52,152.32,6.9473,1.9676,0.4435,4.85,0.6667,175.0693,167.4417865838145,1.9968,-32.0553,1.0855
flat_platform_252_platform_flat_landmarks,1,0,180.0,119.98,126.97,1.9753,2.7539,0.7762,7.5753,0.5167,167.8491,171.71644645340734,1.8857,-27.6395,1.0052
flat_platform_256_platform_flat_landmarks,1,0,179.79,121.4,133.18,1.7653,2.2747,0.4437,6.109,0.2329,163.3188,174.70900335090522,2.6754,-22.9533,2.0181
flat_platform_257_platform_flat_landmarks,1,0,179.98,121.25,133.47,1.825,2.4441,0.5549,10.9525,0.2749,165.2504,172.37608485351856,2.516,-33.8661,1.5166
flat_platform_258_platform_flat_landmarks,1,0,179.5,122.68,138.47,8.9231,0.496,0.0744,16.6099,0.6568,167.1422,175.09099491318216,4.6558,-25.8901,4.08
flat_platform_259_platform_flat_landmarks,1,0,179.83,121.64,132.45,2.0812,3.0454,0.5835,5.7422,0.8899,164.5374,176.54574692284666,2.6167,-22.6114,1.7099
flat_platform_270_platform_flat_landmarks,1,0,178.91,122.57,136.7,7.1907,0.626,0.6291,7.6635,0.5777,168.0702,176.93369864601425,2.4884,-23.9175,2.1601
flat_platform_271_platform_flat_landmarks,1,0,179.98,119.77,130.51,4.2661,0.6431,0.5879,8.7038,0.4673,171.4814,171.09448540946758,1.185,-37.0794,1.5982
flat_platform_272_platform_flat_landmarks,1,0,179.91,121.93,124.74,4.0227,2.7515,0.8465,23.6537,0.7572,169.6593,174.22989976503212,4.9907,-22.6123,4.8499
flat_platform_308_platform_flat_landmarks,1,0,179.96,133.8,142.99,3.573,2.2149,0.5329,16.414,1.2114,171.2641,179.23361881861723,5.7916,-30.1898,5.2315
flat_platform_309_platform_flat_landmarks,1,0,153.62,130.97,147.69,5.2582,1.8817,0.472,6.9209,0.9193,163.8985,178.28426841622235,2.242,-27.8971,1.8403
flat_platform_316_platform_flat_landmarks,1,0,153.13,131.62,141.33,8.1375,0.2279,0.4997,7.5948,1.8875,170.5508,175.95330938534624,2.3137,-24.3479,1.9923
flat_platform_319_platform_flat_landmarks,1,0,179.66,134.09,151.54,14.6696,0.4623,0.7003,6.7597,1.8608,170.9404,176.87443165257227,3.2205,-29.4956,1.7999
flat_platform_329_platform_flat_landmarks,1,0,179.73,133.34,135.38,2.9925,0.8571,0.6168,6.0885,2.2532,168.8879,178.00418868204795,2.9158,-30.8567,1.5777
flat_platform_334_platform_flat_landmarks,1,0,179.44,134.79,142.92,4.3535,1.9344,0.75,11.2181,0.8051,171.3025,179.2068688003602,4.0271,-24.4808,2.7759
flat_platform_335_platform_flat_landmarks,1,0,179.89,134.53,147.82,16.4997,1.0475,0.6035,10.974,1.1777,169.3599,179.24032283804715,3.9533,-28.1185,2.5132
flat_platform_401_platform_flat_landmarks,1,0,139.51,128.54,140.96,2.5725,4.3704,0.8339,5.9618,0.5596,168.7246,170.2241337335825,0.8405,-23.088,1.4949
flat_platform_402_platform_flat_landmarks,1,0,141.54,126.53,138.23,4.1336,5.6596,0.6221,5.9789,0.9671,166.1583,170.52096967796194,0.7716,-28.1018,1.3979
flat_platform_403_platform_flat_landmarks,1,0,152.05,126.4,160.54,3.2822,1.8406,0.278,5.7846,2.6908,166.381,167.5366905068848,1.4137,-15.4574,1.5353
flat_platform_407_platform_flat_landmarks,1,0,179.7,131.64,161.1,6.7766,0.7198,0.96,9.2052,1.6696,172.5415,179.967386390357,5.4014,-22.4486,3.4501
flat_platform_408_platform_flat_landmarks,1,0,179.96,139.37,163.32,7.6243,1.1578,0.9992,10.4702,0.6478,174.4515,177.78156763063154,4.6932,-19.7769,3.471
flat_platform_409_platform_flat_landmarks,1,0,178.88,137.73,172.68,7.8873,0.4659,0.4123,6.9837,1.2228,171.6892,179.98479976630392,4.4245,-17.585,1.8383
flat_platform_410_platform_flat_landmarks,1,0,179.88,135.55,178.74,6.8,0.3013,0.5639,8.8659,1.3046,175.8081,178.4027725117353,3.7892,-25.5987,2.5455
flat_platform_412_platform_flat_landmarks,1,0,178.7,135.8,137.62,4.5453,2.2243,0.7631,14.538,0.7362,173.124,175.11592865101707,6.0781,-30.1711,4.5432
flat_platform_413_platform_flat_landmarks,1,0,179.98,134.64,137.02,4.6691,1.852,0.725,8.7856,1.3359,173.3049,179.71267134864945,4.0936,-21.9843,3.5152
flat_platform_427_platform_flat_landmarks,1,0,179.84,134.43,161.01,10.6884,2.206,0.9923,6.3441,0.6561,175.0839,176.54603635366917,2.6261,-30.1323,2.3183
flat_platform_428_platform_flat_landmarks,1,0,160.11,134.43,171.63,7.7313,0.3918,0.4512,6.7883,1.6402,174.2639,179.833933705908,3.0993,-33.7143,1.5405
flat_platform_429_platform_flat_landmarks,1,0,179.96,133.11,149.27,5.6924,0.8989,0.8544,8.0377,1.2249,174.0703,179.28342734055929,3.8071,-27.2768,3.3276
flat_platform_432_platform_flat_landmarks,1,0,179.71,139.61,145.32,9.9011,3.155,0.796,6.2606,0.8794,171.4943,175.9535090756429,2.0264,-28.9208,2.2576
flat_platform_435_platform_flat_landmarks,1,0,179.96,138.22,138.75,2.7902,2.335,0.7567,7.4145,0.8611,172.3651,176.890460812023,3.5334,-30.2072,2.4476
flat_platform_436_platform_flat_landmarks,1,0,179.84,126.41,134.64,7.1688,0.4653,0.7855,7.0952,0.4373,169.777,170.91604196500393,0.4106,-25.0346,2.525
flat_platform_437_platform_flat_landmarks,1,0,149.79,127.38,145.37,1.5514,2.7948,0.2141,5.1535,3.0772,171.4703,170.2700971770701,0.9684,-18.9872,1.232
flat_platform_439_platform_flat_landmarks,1,0,155.09,130.13,154.25,3.2916,2.2101,0.1319,5.0076,1.4889,163.5582,170.89203726829356,1.4084,-22.8647,1.4434
flat_platform_440_platform_flat_landmarks,1,0,171.49,134.8,138.64,4.339,3.5189,0.7035,14.399,0.691,172.2857,177.78158693242045,4.1409,-44.0831,4.5086
flat_platform_443_platform_flat_landmarks,1,0,169.8,140.63,157.79,17.1066,3.7022,0.2615,13.6878,0.8881,169.3637,178.74928254593377,3.9541,-43.1846,3.7545
flat_platform_444_platform_flat_landmarks,1,0,179.92,128.52,159.45,6.0598,1.0922,0.2139,13.9253,2.0178,160.3352,171.40070434184688,2.1487,-23.8244,3.8182
flat_platform_445_platform_flat_landmarks,1,0,179.76,139.29,140.21,6.2931,4.7704,0.6332,5.5884,0.6597,172.6276,176.6301678928088,2.313,-46.7511,1.8919
flat_platform_450_platform_flat_landmarks,1,0,179.74,126.53,140.2,1.3472,2.9487,0.3926,5.4615,2.0714,174.3275,170.64624384806334,1.4901,-23.9993,1.6325
flat_platform_452_platform_flat_landmarks,1,0,178.38,140.38,149.59,16.6994,3.4022,0.5133,6.6773,0.7641,172.7445,176.65023023926813,2.9929,-43.1144,2.3875
flat_platform_454_platform_flat_landmarks,1,0,147.68,128.2,149.56,1.7699,2.0293,0.12,6.8429,1.9418,173.3706,169.09640236826507,1.2921,-21.364,1.6806
flat_platform_457_platform_flat_landmarks,1,0,179.25,131.94,132.98,3.61,4.6689,0.5864,9.8685,1.4885,177.4676,177.98232579992538,5.837,-37.7086,4.3233
flat_platform_458_platform_flat_landmarks,1,0,179.14,134.81,144.54,4.731,1.7914,0.7436,10.647,1.4225,171.4571,179.82888153386045,6.2497,-38.6769,4.4287
flat_platform_459_platform_flat_landmarks,1,0,163.22,137.69,160.13,11.8328,2.1666,0.9935,8.5894,0.7751,171.2668,178.46110120799756,2.4627,-30.3944,2.573
flat_platform_462_platform_flat_landmarks,1,0,179.78,130.13,145.98,1.6529,2.5411,0.3357,6.2678,2.5908,167.9734,169.71542180331642,1.7994,-21.491,1.8038
flat_platform_465_platform_flat_landmarks,1,0,179.8,134.66,162.38,8.2526,1.3486,0.9271,7.9291,1.9156,172.3263,179.46417194306053,4.0226,-33.0055,2.9761
flat_platform_467_platform_flat_landmarks,1,0,179.59,127.06,139.57,1.5539,2.7318,0.5085,7.9594,1.4254,167.8108,169.94525155096923,2.5789,-24.1404,2.5438
flat_platform_470_platform_flat_landmarks,1,0,176.17,138.7,141.18,3.2131,2.5956,0.6956,8.191,0.9349,170.2066,177.1596258458502,3.7702,-40.9339,2.9866
flat_platform_474_platform_flat_landmarks,1,0,179.7,133.3,174.92,7.1007,0.3401,0.4864,7.352,1.3688,169.2957,179.2846927767452,3.9344,-41.756,1.7013
flat_platform_475_platform_flat_landmarks,1,0,179.99,142.33,158.6,22.6243,2.0285,0.6345,7.2315,0.6463,171.1757,177.24906462988776,2.0211,-37.9783,2.7329
flat_platform_476_platform_flat_landmarks,1,0,179.94,142.87,143.27,5.8927,4.1544,0.6226,4.6863,1.0066,166.9054,177.90754865566885,1.6126,-47.9751,1.5965
flat_platform_477_platform_flat_landmarks,1,0,179.93,138.68,142.33,6.5862,1.9581,0.9067,17.0173,1.4756,168.849,179.05689306590602,8.5347,-35.4808,6.293
flat_platform_479_platform_flat_landmarks,1,0,170.42,127.72,129.98,1.5554,2.6514,0.5736,9.299,3.8464,158.803,169.56883290155324,0.4784,-24.4562,1.9692
flat_platform_485_platform_flat_landmarks,1,0,179.98,139.28,139.3,4.0963,2.5207,0.6785,7.0244,0.3932,172.5435,177.0617749922058,2.4021,-34.4869,2.301
flat_platform_486_platform_flat_landmarks,1,0,165.89,138.86,143.92,4.938,2.3689,0.4214,15.0449,0.6711,172.733,175.93520930504488,4.5056,-39.9135,4.7139
flat_platform_487_platform_flat_landmarks,1,0,179.28,133.94,170.44,9.4729,0.4773,0.4507,9.1818,1.698,171.57,179.41990322749697,5.8971,-31.6224,2.3329
flat_platform_490_platform_flat_landmarks,1,0,174.28,126.28,137.42,1.0773,2.411,0.3791,6.2746,1.9992,169.4023,169.89002878924586,1.5303,-24.323,1.7396
flat_platform_491_platform_flat_landmarks,1,0,179.42,129.12,158.86,2.3652,2.0703,0.2267,6.0238,1.8528,161.7547,168.06999350810526,1.8584,-25.4754,1.7197
flat_platform_493_platform_flat_landmarks,1,0,155.94,128.25,147.62,1.5406,2.1777,0.2198,5.3864,1.2151,158.7471,168.88661693736088,1.4348,-24.0849,1.5737
flat_platform_495_platform_flat_landmarks,1,0,179.95,139.78,143.31,18.7817,5.8157,0.9819,7.4315,0.4371,173.4073,175.6969659280737,2.256,-46.2353,2.456
flat_platform_496_platform_flat_landmarks,1,0,169.1,134.82,137.97,4.1736,2.8749,0.8458,8.9761,1.3863,170.739,179.54028800020973,4.6189,-49.2904,3.5642
flat_platform_499_platform_flat_landmarks,1,0,179.02,128.92,140.65,11.2493,6.1602,0.5552,17.8557,0.7537,171.4711,170.936876172041,3.452,-32.3527,4.4811
flat_platform_503_platform_flat_landmarks,1,0,155.26,127.45,173.71,7.027,1.6591,0.3236,6.5294,2.6617,172.0721,169.65448312939614,1.7916,-24.6701,1.4519
flat_platform_505_platform_flat_landmarks,1,0,179.5,134.0,139.93,4.7163,2.2187,0.6583,10.4781,1.282,172.0937,179.04570362409507,6.5647,-29.7678,4.2665
flat_platform_507_platform_flat_landmarks,1,0,179.99,130.08,132.18,4.0341,3.1943,0.7597,7.8032,1.1506,174.3762,179.2167495607367,3.8581,-34.0644,3.3826
flat_platform_509_platform_flat_landmarks,1,0,179.38,124.32,165.89,14.3416,0.0279,0.4177,28.7488,1.9277,172.475,168.12527021717477,6.1703,-24.3359,5.8974
flat_platform_511_platform_flat_landmarks,1,0,155.53,127.13,130.8,0.4959,2.6444,0.5875,5.4791,1.6414,168.1956,169.19708640161994,1.1152,-23.0911,1.3416
flat_platform_513_platform_flat_landmarks,1,0,179.68,133.46,156.4,5.7718,0.8216,0.836,8.7824,1.639,170.3556,178.39307790975224,5.2848,-32.7515,3.9789
flat_platform_515_platform_flat_landmarks,1,0,179.48,132.46,143.92,4.5718,1.1459,0.8422,8.402,1.7045,169.1806,178.74652863943427,5.2459,-32.4764,3.1308
flat_platform_518_platform_flat_landmarks,1,0,153.24,126.93,145.82,17.792,13.1555,0.9583,7.1235,1.1407,175.7679,170.51877664854484,0.784,-23.0588,1.7476
flat_platform_520_platform_flat_landmarks,1,0,179.75,128.48,140.44,5.352,1.2128,0.6579,8.2701,1.0373,173.6605,172.43615774386657,1.3204,-30.2071,2.3421
flat_platform_521_platform_flat_landmarks,1,0,179.84,135.72,150.14,6.4446,1.1073,0.7797,8.1358,1.4601,171.233,179.33924616541537,5.3207,-40.9664,3.7014
flat_platform_522_platform_flat_landmarks,1,0,176.73,141.62,161.72,19.8499,1.9788,0.2776,8.3978,0.6817,174.5099,178.30409727840564,3.6208,-21.7523,2.8865
flat_platform_526_platform_flat_landmarks,1,0,179.84,132.7,146.95,7.4494,1.4734,0.7437,8.3432,1.7605,171.7468,179.75136550937808,5.192,-39.3182,3.1895
flat_platform_527_platform_flat_landmarks,1,0,179.78,143.35,167.82,10.5815,0.4916,0.1479,6.8387,0.864,171.8289,179.3827351011454,3.1548,-37.5938,2.3902
flat_platform_528_platform_flat_landmarks,1,0,179.98,139.1,155.58,6.6462,1.8027,0.8644,7.0658,0.6378,173.4179,179.87444041499978,3.1749,-41.4522,2.4642
flat_platform_529_platform_flat_landmarks,1,0,179.13,129.93,154.2,7.9148,1.0724,0.8148,9.3513,1.7483,175.5171,179.3149788709258,6.1985,-42.2934,4.1038
flat_platform_52_landmarks,1,0,167.42,129.02,161.71,9.1002,1.203,0.083,6.0356,1.026,170.7182,179.96672617983447,3.2848,-34.4999,1.6459
flat_platform_530_platform_flat_landmarks,1,0,179.97,137.33,149.87,7.211,2.225,0.8824,5.8039,0.7301,172.199,177.21909364483895,2.3565,-34.008,2.2204
flat_platform_532_platform_flat_landmarks,1,0,179.98,130.55,132.23,0.7826,2.6651,0.5702,5.9036,2.4481,168.0326,168.85063624850582,1.8316,-24.3947,1.4858
flat_platform_534_platform_flat_landmarks,1,0,173.12,129.37,179.42,5.7671,0.121,0.3522,6.5987,1.5196,169.1821,169.33312590956353,1.6065,-23.4546,1.3057
flat_platform_537_platform_flat_landmarks,1,0,179.97,132.46,170.54,7.24,0.4685,0.2925,10.8072,1.1993,171.9555,179.6253173061833,6.4345,-34.9765,2.9233
flat_platform_73_landmarks,1,0,179.98,121.88,141.04,18.6999,1.1203,0.5232,3.5474,-0.0011,166.1682,171.2511557426694,1.9279,-29.775,1.8361
flat_platform_86_landmarks,1,0,173.16,140.48,142.76,0.8445,2.4985,0.5167,4.4211,-1.7043,77.8354,167.30149255350196,1.1187,-31.0277,0.8774
flat_platform_98_landmarks,1,0,179.99,127.76,140.92,16.3589,1.8071,0.4369,9.8758,-0.5179,138.9696,179.07636395502587,8.194,-39.6506,3.9555
flat_platform_99_landmarks,1,0,174.81,130.14,135.06,8.6483,0.564,0.4723,3.4343,0.4283,157.5726,175.1240322534972,2.7954,-21.6612,0.6106
kick_pinpoint_102_landmarks,0,1,179.88,140.72,144.83,20.1309,0.1949,0.1447,4.724,0.0551,168.8399,174.32999891557358,2.6346,40.0165,1.4891
kick_pinpoint_108_landmarks,0,1,179.94,133.1,156.32,23.8361,0.3227,0.3601,16.0357,-0.1332,161.2421,165.57224024344438,10.4655,-20.6881,5.1051
kick_pinpoint_109_landmarks,0,1,179.95,129.99,142.79,35.385,0.0571,0.2131,14.3672,0.1136,175.5677,167.76779553730572,11.4965,-27.9116,5.7366
kick_pinpoint_110_landmarks,0,1,179.69,132.68,160.92,25.562,0.5953,0.533,18.822,0.0434,169.6368,162.56108608946238,13.5056,-24.5126,7.5366
kick_pinpoint_112_landmarks,0,1,179.86,134.71,169.25,8.5102,0.2646,0.0229,8.1318,0.7845,169.859,172.58332485625886,5.3767,-30.0774,2.33
kick_pinpoint_124_landmarks,0,1,179.9,131.47,166.31,46.7246,0.1586,0.281,15.0649,0.1823,174.4005,179.96576411781396,7.6516,-29.8956,4.587
kick_pinpoint_125_landmarks,0,1,161.01,131.14,164.31,7.3219,0.1838,0.3068,4.9012,-0.038,175.7637,173.31119642369487,2.8752,-22.4938,1.562
kick_pinpoint_154_landmarks,0,1,179.68,141.29,173.99,7.8568,0.166,0.5268,5.6421,0.2247,166.0463,179.33098162433743,4.8331,43.8731,1.7502
kick_pinpoint_155_landmarks,0,1,162.47,140.74,172.89,10.4412,0.1201,0.4657,6.0489,0.7454,174.2189,178.9447538682407,4.3778,-0.1076,1.936
kick_pinpoint_206_pinpoint_kick_landmarks,0,1,177.86,124.86,173.11,66.5447,0.2972,0.9287,21.3045,1.9674,178.2566,179.17645104543007,12.7056,-9.4367,2.6783
kick_pinpoint_217_pinpoint_kick_landmarks,0,1,175.15,134.3,159.21,143.1972,0.5982,0.8234,15.7781,1.2148,175.7068,172.6379118383797,9.4695,-58.7297,1.7856
kick_pinpoint_218_pinpoint_kick_landmarks,0,1,179.31,133.32,161.31,181.1928,0.2043,0.9981,13.0404,0.7609,175.2283,172.42489420380963,7.3498,-45.451,1.394
kick_pinpoint_229_pinpoint_kick_landmarks,0,1,179.9,141.65,171.98,16.4636,0.1307,0.1878,9.8041,0.4695,179.6909,172.68754167297988,6.3376,-40.8455,2.2218
kick_pinpoint_237_pinpoint_kick_landmarks,0,1,179.98,140.93,160.76,11.4845,0.0514,0.3317,13.3848,0.1221,175.0117,173.4093919785574,6.6965,-19.4293,3.4968
kick_pinpoint_239_pinpoint_kick_landmarks,0,1,171.75,132.28,168.74,18.4468,0.0166,0.6205,10.9657,0.735,176.5492,176.39642969798507,4.7896,-59.0629,0.998
kick_pinpoint_243_pinpoint_kick_landmarks,0,1,179.86,137.95,164.87,11.8197,0.5649,0.396,5.2771,0.6927,179.0672,173.60957666997263,7.6929,-28.8003,3.9772
kick_pinpoint_262_pinpoint_kick_landmarks,0,1,178.76,119.75,171.48,9.7526,0.2474,0.8305,22.6085,0.9852,178.846,162.99673358799063,7.612,-3.6791,3.5181
kick_pinpoint_311_pinpoint_kick_landmarks,0,1,146.91,132.64,142.78,3.9269,0.3871,0.7146,6.2365,0.49,178.5953,175.9466658688613,1.0015,-27.709,1.4264
kick_platform_100_landmarks,1,1,162.91,134.7,143.02,1.9259,2.3027,0.2677,3.3016,-0.6381,150.0945,167.6045938647532,1.7261,-31.2586,1.5179
kick_platform_121_landmarks,1,1,179.79,119.46,154.14,17.8403,0.317,0.243,8.8941,0.6327,172.5536,175.1252456248509,3.1352,-31.4053,2.613
kick_platform_19_landmarks,1,1,179.95,124.81,179.32,16.5856,3.2727,0.1492,4.7458,0.8066,174.1058,170.2812486106078,2.2955,-19.7215,1.5191
kick_platform_254_platform_kick_landmarks,1,1,179.82,111.45,119.99,1.206,3.3119,0.7575,6.6352,0.9032,168.8865,174.92253810794162,2.8375,-25.8027,2.0706
